序1 :A03583:藉:借:藉:一簡對多
序482 :B03917:菔:菔:無相關對應:一對未知:G2-04758:無繁體:菔:無異體
序484 :B03925:菕:菕:無相關對應:一對未知
序485 :B03913:菖:菖:無相關對應:一對未知:G2-04753:無繁體:菖:無異體
序487 :B03908:菘:菘:無相關對應:一對未知:G2-04748:無繁體:菘:無異體
序489 :B03961:菙:菙:無相關對應:一對未知
序490 :A03517:菜:菜:佔格:一簡對一:G1-02207:無繁體:菜:無異體
序492 :B03906:菝:菝:無相關對應:一對未知:G3-07120:無繁體:菝:無異體
序494 :B03920:菞:菞:無相關對應:一對未知
序495 :B03918:菟:菟:無相關對應:一對未知:G2-04759:無繁體:菟:無異體
序497 :A03499:菠:菠:佔格:一簡對一:G1-02212:無繁體:菠:無異體
序499 :B03910:菡:菡:無相關對應:一對未知:G2-04769:無繁體:菡:無異體
序501 :B03903:菣:菣:無相關對應:一對未知
序502 :B03895:菤:菤:無相關對應:一對未知
序503 :B03907:菥:菥:無相關對應:一對未知:G3-07122:無繁體:菥:無異體
序505 :B03894:菧:菧:無相關對應:一對未知
序506 :B03892:菨:菨:無相關對應:一對未知
序507 :A03495:菩:菩:佔格:一簡對一:G1-02210:無繁體:菩:無異體
序509 ::::::G2-04764:無繁體:菪:無異體
序510 :A03508:菰:菰:佔格:一簡對一:G2-04768:無繁體:菰:無異體
序512 :A03504:菱:菱:佔格:一簡對一:G1-02199:無繁體:菱:蔆
序513 :B04010:蔆:菱:蔆:一對未知:G1-02199:無繁體:菱:蔆
序514 :A03504:菱:菱:佔格:一簡對一:G1-02199:無繁體:菱:蔆
序515 :B04010:蔆:菱:蔆:一對未知:G1-02199:無繁體:菱:蔆
序517 :A03512:菲:菲:佔格:一簡對一:G1-02202:無繁體:菲:無異體
序519 :B03924:菳:菳:無相關對應:一對未知
序520 :B03914:菵:菵:無相關對應:一對未知
序521 :B03897:菶:菶:無相關對應:一對未知
序522 :B03889:菹:菹:無相關對應:一對未知:G2-04763:無繁體:菹:無異體
序524 :B03926:菺:菺:無相關對應:一對未知
序525 :B03896:菼:菼:無相關對應:一對未知:G3-07130:無繁體:菼:無異體
序527 :A03511:菽:菽:佔格:一簡對一:G2-04752:無繁體:菽:無異體
序529 :B03909:菿:菿:無相關對應:一對未知
序530 :B03905:萁:萁:無相關對應:一對未知:G2-04747:無繁體:萁:無異體
序532 :A03496:萃:萃:佔格:一簡對一:G2-04761:無繁體:萃:無異體
序534 :A03516:萄:萄:佔格:一簡對一:G1-02208:無繁體:萄:無異體
序536 :B03922:萆:萆:無相關對應:一對未知:G3-07127:無繁體:萆:無異體
序538 :B03916:萉:萉:無相關對應:一對未知
序539 :A03501:萋:萋:佔格:一簡對一:G2-04751:無繁體:萋:無異體
序541 :A03509:萌:萌:佔格:一簡對一:G1-02203:無繁體:萌:無異體
序543 :A03498:萍:萍:佔格:一簡對一:G1-02211:無繁體:萍:無異體
序545 :A03515:萎:萎:佔格:一簡對一:G1-02206:無繁體:萎:無異體
序547 :B03919:萏:萏:無相關對應:一對未知:G2-04760:無繁體:萏:無異體
序549 :B03898:萐:萐:無相關對應:一對未知
序550 :B03921:萑:萑:無相關對應:一對未知:G2-04756:無繁體:萑:無異體
序552 :B03893:萒:萒:無相關對應:一對未知
序553 ::::::G2-04750:無繁體:萘:無異體
序554 ::::::G3-07121:蘀:萚:無異體
序555 ::::::G2-04754:無繁體:萜:無異體
序556 :A03603:蘿:萝:蘿:一簡對一:G1-02204:蘿:萝:無異體
序558 :B03890:萣:萣:無相關對應:一對未知:G3-07131:無繁體:萣:無異體
序560 :A03669:螢:萤:螢:一簡對一:G1-02213:螢:萤:無異體
序562 :A02453:營:营:營:一簡對一:G1-02214:營:营:無異體
序564 :A03162:縈:萦:縈:一簡對一:G2-04767:縈:萦:無異體
序566 :A03568:蕭:萧:蕭:一簡對一:G1-02216:蕭:萧:無異體
序568 :A03580:薩:萨:薩:一簡對一:G1-02217:薩:萨:無異體
序570 :A03506:著:著:佔格:一簡對一:G1-02198:無繁體:著:無異體
序572 :B04126:薳:䓕:薳:一對未知
序573 ::::::G3-07134:無繁體:䓛:無異體
序574 ::::::G3-07132:罃:䓨:無異體
序575 ::::::G3-07124:無繁體:䓫:無異體
序576 ::::::G3-07126:無繁體:䓬:無異體
序577 :B03960:萩:萩:無相關對應:一對未知:G3-07312:無繁體:萩:無異體
序579 :B03965:萭:萭:無相關對應:一對未知
序580 :B03963:萯:萯:無相關對應:一對未知
序581 :B03941:萰:萰:無相關對應:一對未知
序582 :A03521:萱:萱:佔格:一簡對一:G2-05091:無繁體:萱:萲蕿蘐藼
序584 :B03958:萲:萲:無相關對應:一對未知
序585 ::::::G3-07303:無繁體:萳:無異體
序586 :B03954:萴:萴:無相關對應:一對未知
序587 :B03951:萷:萷:無相關對應:一對未知
序588 :A03514:萸:萸:佔格:一簡對一:G2-04755:無繁體:萸:無異體
序590 :B03969:萹:萹:無相關對應:一對未知:G3-07320:無繁體:萹:無異體
序592 :B03953:萺:萺:無相關對應:一對未知
序593 :A03528:萼:萼:佔格:一簡對一:G2-05086:無繁體:萼:蕚
序595 :A03520:落:落:佔格:一簡對一:G1-02557:無繁體:落:無異體
序597 :B03930:萿:萿:無相關對應:一對未知
序598 :B03938:葀:葀:無相關對應:一對未知
序599 :B03964:葂:葂:無相關對應:一對未知
序600 :B03956:葃:葃:無相關對應:一對未知
序601 :B03959:葅:葅:無相關對應:一對未知
序602 :B03967:葆:葆:無相關對應:一對未知:G2-05087:無繁體:葆:無異體
序604 :B03962:葋:葋:無相關對應:一對未知
序605 :B03971:葌:葌:無相關對應:一對未知
序606 :B03942:葍:葍:無相關對應:一對未知
