序510 :A04335:鎮:镇:鎮:一簡對一:G1-03256:鎮:镇:無異體
序512 :B05415:鎛:镈:鎛:一對未知:G3-07786:鎛:镈:無異體
序514 :B05414:鎘:镉:鎘:一對未知:G2-05947:鎘:镉:無異體
序516 :B05473:鑷:镊:鑷:一對未知:G2-05946:鑷:镊:無異體
序518 ::::::G3-07787:钂:镋:無異體
序519 :B05460:鐫:镌:鐫:一對未知:G2-05948:鎸:镌:無異體
序521 :A04334:鎳:镍:鎳:一簡對一:G2-05949:鎳:镍:無異體
序523 ::::::G3-07788:鎿:镎:無異體
序524 :B05423:鎦:镏:鎦:一對未知:G2-05950:鎦:镏:無異體
序526 :B05409:鎬:镐:鎬:一對未知:G1-03257:鎬:镐:無異體
序528 :A04331:鎊:镑:鎊:一簡對一:G1-03258:鎊:镑:無異體
序530 :B05410:鎰:镒:鎰:一對未知:G2-05951:鎰:镒:無異體
序532 :B05408:鎵:镓:鎵:一對未知:G2-05952:鎵:镓:無異體
序534 :B05461:鑌:镔:鑌:一對未知:G2-05953:鑌:镔:無異體
序536 :A04330:鎔:镕:鎔:一簡對一:G3-07790:鎔:镕:無異體
序538 ::::::G3-07678:鎝:𨱏:無異體
序539 ::::::G3-07789:鎓:𬭩:無異體
序540 :A04344:鏢:镖:鏢:一簡對一:G2-06112:鏢:镖:無異體
序542 :A04341:鏜:镗:鏜:一簡對一:G2-06113:鏜:镗:無異體
序544 :A04342:鏝:镘:鏝:一簡對一:G2-06114:鏝:镘:無異體
序546 :A04345:鏍:镙:佔格:一簡對一
序547 ::::::G2-06115:鏰:镚:無異體
序548 :B05425:鏞:镛:鏞:一對未知:G2-06116:鏞:镛:無異體
序550 :A04336:鏡:镜:鏡:一簡對一:G1-03354:鏡:镜:無異體
序552 :A04337:鏑:镝:鏑:一簡對一:G2-06117:鏑:镝:無異體
序554 :A04339:鏃:镞:鏃:一簡對一:G2-06118:鏃:镞:無異體
序556 :B05426:鏇:镟:鏇:一對未知
序557 :B05430:鏐:镠:鏐:一對未知:G2-06119:鏐:镠:無異體
序559 ::::::G3-07872:鏏:𬭬:無異體
